76201033;2;-3;3;-1;13;2;53;-8;
76202135;14;8;23;9;38;17;10;-4;
76203234;-5;4;-48;-9;1;-10;-4;-5;
76204316;4;-7;4;5;-7;0;-6;4;
76205447;-9;-1;-4;-16;-13;-5;10;-11;
76206552;11;11;-2;4;2;8;-4;5;
76207666;15;15;5;9;12;1;9;14;
76208758;-6;4;6;-4;16;11;-165;-4;
76209882;-15;-15;-15;-1;-12;-11;-20;-28;
76210997;-33;-6;-6;2;-3;-9;-11;15;
76212117;-5;7;9;-5;-4;6;0;-5;
76213212;-4;2;-10;-15;2;-10;-12;-11;
76214317;-4;1;-17;-7;6;-13;-8;-13;
76215432;-4;7;3;-6;6;15;-1;11;
76216552;3;-2;3;9;11;2;1;13;
76217672;6;4;5;0;0;-4;13;0;
76218761;-13;-7;-13;-12;-15;-4;-41;-4;
76219860;-28;-15;-18;-15;-15;-8;-24;-22;
76220892;5;3;2;-1;-6;-3;0;9;
76221922;17;0;-9;-11;-4;-6;-3;3;
76222958;1;9;5;6;3;5;6;-7;
76224023;0;-13;-13;-17;5;-8;-5;-10;
76225137;4;62;8;0;13;10;-4;4;
76226186;-3;-17;-9;-12;-12;-9;-9;-8;
76227251;8;6;9;86;10;1;-30;8;
76228285;2;-16;0;-9;-14;-9;6;-20;
76229365;8;-10;-8;-17;-7;-5;5;-38;
76230399;4;0;-9;-6;-1;-3;5;6;
76231472;-9;-3;-6;-19;13;10;-18;-9;
76232515;5;9;3;11;9;-4;51;-6;
76233568;3;13;21;-1;6;12;14;-2;
76234644;14;9;-1;1;0;1;3;5;
76235679;-1;-3;-3;-6;6;-7;-12;-17;
76236779;-16;-1;0;-1;14;8;-6;4;
76237870;15;-8;-4;3;-15;2;-6;2;
76238934;6;6;-4;-10;-5;-3;3;-3;
76239973;-15;-14;2;-1;2;2;-2;-11;
76241021;-21;-15;-25;-23;-16;-15;-19;-21;
76242092;3;-8;-2;5;-6;-11;-4;-1;
76243119;-4;-5;-5;35;4;-30;-3;-1;
76244209;2;-1;3;-1;18;-7;-46;2;
76245240;13;14;10;0;11;13;4;-2;
76246272;7;13;14;18;-27;-3;3;13;
76247299;-13;0;-8;-13;2;-10;-1;-13;
76248410;-8;-1;6;1;2;-7;6;13;
76249525;0;-5;34;0;-3;-3;-5;-3;
76250619;-11;8;-13;-7;-21;2;2;-14;
76251709;0;3;34;0;14;17;18;12;
76252809;-20;-11;-47;-24;1;-23;-23;-23;
76254158;-11;-3;-16;-20;-16;-14;-18;-16;
76255289;-6;13;15;6;-2;-2;1;17;
76256398;5;8;10;3;10;28;-6;-8;
76257515;-23;-10;-21;-25;-14;-25;-17;-4;
76258618;-9;-9;-8;23;-2;8;0;-8;
76259720;5;6;-1;15;21;22;17;0;
76260825;-5;-10;-1;3;9;-2;7;-4;
76261936;-3;4;-13;-9;-5;5;14;-24;
76263040;-4;4;1;-6;8;-6;-6;-6;
76264137;17;0;6;13;-3;25;1;-4;
76265227;-12;-2;-10;-13;-4;-10;-4;-4;
76266320;-13;-8;-5;-1;-2;-8;-11;-2;
76267438;-8;-3;14;-8;1;4;-7;-11;
76268544;-12;-3;-4;-9;-9;-6;3;-9;
76269687;-8;-12;-11;4;-6;-10;1;-3;
76270785;12;1;18;-3;12;11;-1;-9;
76271886;-2;-13;-12;-11;8;7;8;-10;
76272982;-8;0;-8;-6;-8;-10;-18;-13;
76274098;5;15;3;7;8;27;2;15;
76275194;28;12;-9;-9;28;21;21;-33;
76276307;-1;2;0;-9;4;-1;5;-13;
76277414;-23;-22;-4;-12;-21;-10;8;-21;
76278540;-17;-14;-16;-11;-13;-3;-24;-2;
76279637;-8;-10;-9;-7;19;-3;-6;2;
76280761;-12;-10;-11;-9;-8;-14;-7;-17;
